iterations,latitude,longitude,scores,road_damage,status,fps
0,0.0,0.0,17,D20,undetected,1.8596232518525053
1,0.0,0.0,9,D20,undetected,3.5599283312920824
2,0.0,0.0,8,D20,undetected,3.988345821764102
3,0.0,0.0,3,D20,undetected,3.9667363049228794
4,-6.8967013,107.61076,3,D20,undetected,4.004789358000691
5,-6.8967013,107.61076,12,D40,undetected,3.849871404890102
6,-6.8967013,107.61076,3,D40,undetected,3.7204754128461524
7,-6.8967013,107.61076,17,D40,undetected,3.552411636565675
8,-6.8967013,107.61076,14,D20,undetected,3.879200428401384
9,-6.8967013,107.61076,14,D40,undetected,4.051399002968299
10,-6.8967013,107.61076,12,D20,undetected,4.064011782260721
11,-6.8967013,107.61076,5,D40,undetected,4.068541319279744
12,-6.8967013,107.61076,18,D40,undetected,4.078863991317726
13,-6.8967009,107.61076,19,D40,undetected,3.954816153036709
14,-6.8967009,107.61076,14,D40,undetected,4.110354127303944
15,-6.8967009,107.61076,16,D40,undetected,4.3668104812513535
16,-6.8967009,107.61076,6,D40,undetected,4.3639935241947905
17,-6.8967009,107.61076,4,D40,undetected,3.936284488090177
18,-6.8967009,107.61076,10,D40,undetected,3.8724313764230893
19,-6.8967009,107.61076,3,D40,undetected,4.0933217523690555
20,-6.8967009,107.61076,9,D40,undetected,4.013580497364664
21,-6.8967009,107.61076,22,D40,undetected,3.3509904039512297
22,-6.8967009,107.61076,18,D40,undetected,3.7379789996773845
23,-6.8967013,107.61076,14,D40,undetected,3.8435071063989663
24,-6.8967013,107.61076,11,D40,undetected,4.177718457722841
25,-6.8967013,107.61076,8,D40,undetected,3.9510571655998454
26,-6.8967013,107.61076,6,D40,undetected,3.8144392525914297
27,-6.8967013,107.61076,25,D40,undetected,3.616418418772283
28,-6.8967013,107.61076,11,D40,undetected,4.0218703314110815
29,-6.8967013,107.61076,6,D40,undetected,3.5665759356056066
30,-6.8967013,107.61076,11,D40,undetected,3.7335436452019786
31,-6.8967013,107.61076,2,D20,undetected,4.104754672074033
32,-6.8967013,107.61076,8,D40,undetected,4.069729577628783
33,-6.8967013,107.61076,14,D40,undetected,4.063980280369123
34,-6.8967013,107.61076,7,D40,undetected,4.109379561972281
35,-6.8967013,107.61076,7,D40,undetected,4.067775832723147
36,-6.8967013,107.61076,10,D40,undetected,4.097092291206542
37,-6.8967013,107.61076,14,D40,undetected,4.3646065843133215
38,-6.8967013,107.61076,22,D40,undetected,3.7115106895087076
39,-6.8967013,107.61076,7,D40,undetected,4.043443136574409
40,-6.8967013,107.61076,2,D40,undetected,3.9925257415479103
41,-6.8967013,107.61076,13,D40,undetected,4.039031511599577
42,-6.896699,107.61076,4,D40,undetected,4.190607883846448
43,-6.896699,107.61076,16,D40,undetected,4.163399088565578
44,-6.896699,107.61076,19,D40,undetected,4.055425938728251
